Temperatura_C,Vibracao_mms,Corrente_A,Status
85.1791613625105,4.760746819316782,15.92234367988905,Falha
86.15926634642715,4.447243678670379,15.727673145955924,Alerta
83.78435602581114,4.84204471155638,15.71549559873274,Falha
66.70486666959245,1.7028740130036262,12.814198311564269,Saudavel
83.6445100589503,4.505744333224726,15.606334241970576,Falha
86.60081905045537,4.495848676171729,16.454918216576072,Alerta
85.80746018067322,4.442988289499552,16.20374283263146,Alerta
65.59224055412915,1.3042472568435386,11.000899657733946,Saudavel
111.2345938840798,8.082859094982688,21.502427501690786,Falha
84.87867837237076,4.200581811805677,16.80791009919415,Alerta
66.37210291999688,1.813104805846868,11.889373188207117,Saudavel
89.1149909394234,4.1784428300879535,16.063385107683843,Alerta
65.4281874882604,1.2837873344800206,11.699316178024391,Saudavel
65.13505640937585,1.3674752482108308,11.987822703869508,Saudavel
113.249202020962,8.717385032278445,21.920932658135445,Falha
83.05094139065872,4.499787421627007,16.469024007649633,Alerta
88.27992905874278,4.621288426488509,15.758705272102002,Falha
118.19182296268256,8.331806527294432,20.867215048732252,Falha
83.7075453803124,4.817980915213987,15.835519361522476,Falha
86.31180155305952,4.264204190209505,15.97940978617436,Alerta
114.76833686433086,8.612117372267646,20.913945417881912,Falha
112.87293712710851,8.314071058860668,21.40337094138827,Falha
85.0376992458897,4.754730633222943,15.890047893889584,Falha
115.23573108915744,7.802105398903757,22.22703447886489,Falha
62.155492580804655,1.6754724581151343,11.119595594009612,Saudavel
66.71531924640404,1.3725225745386964,12.270731364102394,Saudavel
120.34539672631318,8.420923077813839,22.558336423211703,Falha
88.76917261186922,5.040153354453256,16.126028347135552,Falha
113.75918339973506,8.522611354499992,22.018016872044445,Falha
91.38621513568972,4.346035930058524,16.200502146615424,Alerta
63.754600960358815,1.1678078132968015,10.92355470352376,Saudavel
84.48219005259185,4.676565980931216,16.183740638204082,Falha
110.269010553427,8.846428792118719,22.514883596076373,Falha
110.97361675454464,8.301221117254139,21.354427927964604,Falha
63.9634595634527,1.9541385715608792,13.03837399178042,Saudavel
85.90474359249947,4.57318595937255,15.80437333342208,Falha
112.79408961795414,8.409275465376242,21.518234028906527,Falha
66.30278250261159,1.5798272228704142,12.44746218847222,Saudavel
119.96622133926488,8.947323593786937,20.96019346897312,Falha
85.16487950586901,4.360678721307184,15.853839123641524,Alerta
67.47563262394692,1.336612865802553,11.671552860514302,Saudavel
83.19259627853974,4.4458824954712775,15.901165664095872,Alerta
62.34362790220314,1.7012585618428882,12.112225909279989,Saudavel
88.27992905874278,4.631021565520053,16.188858875266543,Falha
79.93942495450734,4.671617232514243,15.965131287063413,Falha
65.01048739943637,1.5057489645869635,12.592852077331498,Saudavel
84.59265249964606,4.23986093528673,15.436022684458289,Alerta
114.28566869106383,8.4944539980257,21.71320576426173,Falha
85.99339844647304,4.194100698392365,15.86333814219284,Alerta
119.03867726860824,9.264015679693916,19.76953198087554,Falha
84.52213580166061,4.7962003549767305,15.790968454471129,Falha
81.83761859593574,4.660351694544165,16.274617082668048,Falha
83.14529373161885,4.030727516486684,15.24113197669171,Alerta
88.80238137150602,4.815584285316875,16.05515035489675,Falha
67.8055886218722,1.8764048992950069,12.319365111014593,Saudavel
65.68723657913692,1.5742291746742618,12.738270174862947,Saudavel
83.38825986700762,4.578084151974866,15.943801294478089,Falha
113.40349431061844,8.470292409363752,19.78165223994892,Falha
87.56203272347022,4.834296508400661,16.209370981761708,Falha
66.7991997508665,1.492088969228669,12.459538241493885,Saudavel
89.14816533949994,4.040667749233283,16.02752574533451,Alerta
84.96258248710821,4.591145578681463,16.273408816652417,Falha
84.76386294601784,4.573951433529602,15.731479047317018,Falha
83.34481955870255,4.364025477293096,15.759988430680709,Alerta
114.13588337823376,8.793082900196392,22.508608373233443,Falha
64.59561469513221,1.321078539556099,12.237349116439976,Saudavel
65.60309468466723,1.5258442363950455,12.182480501233112,Saudavel
63.34553811289536,1.6265863635511022,12.09167995988958,Saudavel
118.30396887320728,8.586127193205519,21.517172409193083,Falha
